,title,company,salary,summary
0,Python Developer with Athena platform,Okaya Corp,Not Available,Python Developer with any experience in one of (SecDB or Quartz or Athena platform trading/risk platforms).Temporarily due to COVID-19.
1,Python Developer,Emonics LLC,"$60,000 - $100,000 a year","Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services."
2,Summer Intern (Business Application Development),TEACHERS RETIREMENT SYSTEM,$15.00 - $17.50 an hour,Assist in the development of business applications.Develop tools/utilities to assist in application development.Good communication and documentation skills.
3,Software Developer,Oracle,Not Available,Moat writes client-side and backend code to capture and processes terabytes of anonymous ad and internet usage data on billions of page-views per day.
4,Operations Python Developer,Hudson River Trading,Not Available,Algorithmic strategy evaluation and management.Write deployment and monitoring systems (everything from the backend processes to the user-visible desktop GUIs)…
5,Python Developer | Middle Office Technology,Liquidnet,Not Available,In this position you will be developing both server-side and web-based tools for internal and external users.The ability to communicate effectively and clearly…
6,Python Developer (Application Development),Morgan Stanley,Not Available,"You will work closely with Sales, Trading, Research and Strats on multiple trading desks to design, develop, deploy and support an innovative data science…"
7,Junior Developer,RBC,Not Available,"Design, develop, support and maintain technology applications for the Central Funding business.Follow RBFG Software Development Guidelines and standards."
8,"Application Developer - Python, Oracle/Postgres (Open to Rem...",Penguin Random House LLC,Not Available,"Lead the design, development, and maintenance of custom web applications (Senior developer).The Content Applications group is responsible for the applications…"
9,Software Engineers & Web Developers,1DocWay,Not Available,"Our Engineering program prepares entry level candidates, who understand the fundamentals of web-development for an exciting and rewarding career in the health…"
10,Software Developer,S&P Global,"$46,800 - $106,900 a year",S&P Global Marketplace technology team consists of geographically diversified software engineers responsible to develop scalable solutions by working directly…
11,Python Developer (Trade Surveillance),Exzac,Not Available,Lead a team of developers through the entire SDLC.Abilityto translate business requirements into design and implementation in TradeSurveillance/Control Room…
12,Mid-to-Senior Python Developer,stackbuilders,Not Available,"You will work as part of a cross-functional Agile team composed of backend and frontend developers, designers, and project managers."
13,"Software Engineer, Intern/Co-op",Facebook,Not Available,"1 or more years of experience with perl, java, php, python, or c++.It's common to write code and have it running live on the site hours later."
14,Late Night Cartoons - Python Developer,CBS Studios,Not Available,"JOB TYPE: Full-Time Staff.Late Night Cartoons, Inc. is looking to place a Python Developer to assist in maintaining and updating Ftrack, a production digital…"
15,Entry Level Java Developer,Synergistic IT,Not Available,"We do provide Java training to candidates, who we think would fit a job requirement with one of our clients.Basic knowledge of C, C++,Core Java, Python."
16,Python Developer with Athena platform,Okaya Corp,Not Available,Python Developer with any experience in one of (SecDB or Quartz or Athena platform trading/risk platforms).Temporarily due to COVID-19.
17,Senior Python Developer - Remote |LATAM|,BairesDev,Not Available,"These developers will face numerous technical challenges, so they must use current technologies, get involved in the mobile world, web applications, devices,…"
18,Software Engineering Apprenticeships 2021,Codecademy,Not Available,"Contribute to the planning, implementation, and deployment of your team’s projects.Communicate architectural decisions and code changes to the engineering team…"
19,Software Developer Intern,Extendime,Not Available,"Interns are hired into a technical role within specific account and/or project teams.Candidates should have a demonstrated interest in technology and business,…"
20,"Intern, Test Lab",Spirent Communications,Not Available,The right applicant will contribute to the Spirent Velocity Lab as a Service and Test as a Service solution.Study in Computer Science major or minor.
21,Python/Django Developer,Emonics LLC,"$60,000 - $70,000 a year","Location: Jersey City, NJ (Must be open for Relocation across all US).Candidate Must be from STEM background* (Computer Science, Information Technology…"
